Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration"
0.000,0,0.00,0,0
0.150,0,0.00,-0.03,0
0.300,0,0.00,-0.03,0.00
0.450,0.02,0.00,-0.03,0.00
0.600,0.02,0.00,-0.03,0.00
0.750,0.02,0.00,-0.01,0.00
0.900,0.02,0.00,-0.01,0.00
1.050,0.02,0.00,-0.01,0.00
1.200,0.02,0.00,-0.01,0.00
1.350,0.02,0.00,-0.05,0.00
1.501,0.02,0.00,-0.05,0.00
1.665,0.02,0.00,-0.05,0.00
1.832,0.02,0.00,-0.05,0.00
1.980,0.02,0.00,-0.03,0.00
2.145,0.02,0.00,-0.03,0.00
2.297,0.02,0.00,-0.03,0.00
2.462,0.02,0.00,-0.03,0.00
2.625,0.02,0.00,-0.02,0.00
2.775,0.02,0.00,-0.02,0.00
2.910,0.02,0.00,-0.02,0.00
3.075,0.02,0.00,-0.02,0.00
3.255,0.02,0.00,-0.05,0.00
3.392,0.02,0.00,-0.05,0.00
3.539,0.02,0.00,-0.05,0.00
3.689,0.02,0.00,-0.05,0.00
3.839,0.02,0.00,-0.02,0.00
3.989,0.02,0.00,-0.02,0.00
4.140,0.02,0.00,-0.02,0.00
4.290,0.02,0.00,-0.02,0.00
4.440,0.02,0.00,0.01,0.00
4.590,0.02,0.00,0.01,0.00
4.739,0.02,0.00,0.01,0.00
4.890,0.02,0.00,0.01,0.00
5.040,0.02,0.00,-0.02,0.00
5.190,0.02,0.00,-0.02,0.00
5.340,0.02,0.00,-0.02,0.00
5.507,0.02,0.00,-0.02,0.00
5.669,0.02,0.00,-0.05,0.00
5.820,0.02,0.00,-0.05,0.00
5.985,0.02,0.00,-0.05,0.00
6.135,0.02,0.00,-0.05,0.00
6.299,0.02,0.00,-0.05,0.00
6.468,0.02,0.00,-0.05,0.00
6.614,0.02,0.00,-0.05,0.00
6.749,0.02,0.00,-0.05,0.00
6.916,0.02,0.00,-0.04,0.00
7.095,0.02,0.00,-0.04,0.00
7.229,0.02,0.00,-0.04,0.00
7.397,0.02,0.00,-0.04,0.00
7.575,0.02,0.00,-0.07,0.00
7.709,0.02,0.00,-0.07,0.00
7.860,0.02,0.00,-0.07,0.00
8.009,0.02,0.00,-0.07,0.00
8.175,0.02,0.00,-0.03,0.00
8.325,0.02,0.00,-0.03,0.00
8.462,0.02,0.00,-0.03,0.00
8.610,0.02,0.00,-0.03,0.00
8.759,0.02,0.00,0.01,0.00
8.910,0.02,0.00,0.01,0.00
9.060,0.02,0.00,0.01,0.00
9.210,0.02,0.00,0.01,0.00
9.375,0.02,0.00,-0.02,0.00
9.510,0.02,0.00,-0.02,0.00
9.662,0.02,0.00,-0.02,0.00
9.825,0.02,0.00,-0.02,0.00
9.975,0.02,0.00,-0.01,0.00
10.140,0.02,0.00,-0.01,0.00
10.274,0.02,0.00,-0.01,0.00
10.425,0.02,0.00,-0.01,0.00
10.590,0.02,0.00,-0.07,0.00
10.739,0.02,0.00,-0.07,0.00
10.875,0.02,0.00,-0.07,0.00
11.010,0.02,0.00,-0.07,0.00
