Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration","Engine speed","Vehicle speed"
0.000,0,0,0,0,651.50,0
0.136,0,0,0,0,651.50,0.00
0.270,0.02,0,0,0,651.50,0.00
0.406,0.02,0.00,0,0,651.50,0.00
0.556,0.02,0.00,-0.03,0,651.50,0.00
0.691,0.02,0.00,-0.03,0.00,651.50,0.00
0.826,0.02,0.00,-0.03,0.00,661.50,0.00
0.961,0.02,0.00,-0.03,0.00,661.50,0.00
1.110,0.02,0.00,-0.03,0.00,661.50,0.00
1.246,0.02,0.00,-0.03,0.00,661.50,0.00
1.395,0.02,0.00,-0.08,0.00,661.50,0.00
1.531,0.02,0.00,-0.08,0.00,661.50,0.00
1.680,0.02,0.00,-0.08,0.00,659.00,0.00
1.831,0.02,0.00,-0.08,0.00,659.00,0.00
1.983,0.02,0.00,-0.08,0.00,659.00,0.00
2.116,0.02,0.00,-0.08,0.00,659.00,0.00
2.251,0.02,0.00,-0.06,0.00,659.00,0.00
2.386,0.02,0.00,-0.06,0.00,659.00,0.00
2.520,0.02,0.00,-0.06,0.00,666.50,0.00
2.671,0.02,0.00,-0.06,0.00,666.50,0.00
2.806,0.02,0.00,-0.06,0.00,666.50,0.00
2.956,0.02,0.00,-0.06,0.00,666.50,0.00
3.090,0.02,0.00,-0.05,0.00,666.50,0.00
3.226,0.02,0.00,-0.05,0.00,666.50,0.00
3.360,0.02,0.00,-0.05,0.00,660.00,0.00
3.496,0.02,0.00,-0.05,0.00,660.00,0.00
3.630,0.03,0.00,-0.05,0.00,660.00,0.00
3.796,0.03,0.00,-0.05,0.00,660.00,0.00
3.930,0.03,0.00,-0.04,0.00,660.00,0.00
4.083,0.03,0.00,-0.04,0.00,660.00,0.00
4.230,0.03,0.00,-0.04,0.00,663.00,0.00
4.365,0.03,0.00,-0.04,0.00,663.00,0.00
4.503,0.02,0.00,-0.04,0.00,663.00,0.00
4.636,0.02,0.00,-0.04,0.00,663.00,0.00
4.771,0.02,0.00,-0.06,0.00,663.00,0.00
4.921,0.02,0.00,-0.06,0.00,663.00,0.00
5.072,0.02,0.00,-0.06,0.00,658.00,0.00
5.206,0.02,0.00,-0.06,0.00,658.00,0.00
5.357,0.02,0.00,-0.06,0.00,658.00,0.00
5.491,0.02,0.00,-0.06,0.00,658.00,0.00
5.625,0.02,0.00,-0.07,0.00,658.00,0.00
5.760,0.02,0.00,-0.07,0.00,658.00,0.00
5.895,0.02,0.00,-0.07,0.00,663.00,0.00
6.030,0.02,0.00,-0.07,0.00,663.00,0.00
6.165,0.02,0.00,-0.07,0.00,663.00,0.00
6.316,0.02,0.00,-0.07,0.00,663.00,0.00
6.450,0.02,0.00,-0.04,0.00,663.00,0.00
6.586,0.02,0.00,-0.04,0.00,663.00,0.00
6.720,0.02,0.00,-0.04,0.00,661.00,0.00
6.871,0.02,0.00,-0.04,0.00,661.00,0.00
7.005,0.02,0.00,-0.04,0.00,661.00,0.00
7.155,0.02,0.00,-0.04,0.00,661.00,0.00
7.290,0.02,0.00,-0.01,0.00,661.00,0.00
7.440,0.02,0.00,-0.01,0.00,661.00,0.00
7.590,0.02,0.00,-0.01,0.00,664.50,0.00
7.726,0.02,0.00,-0.01,0.00,664.50,0.00
7.860,0.02,0.00,-0.01,0.00,664.50,0.00
8.011,0.02,0.00,-0.01,0.00,664.50,0.00
8.145,0.02,0.00,-0.03,0.00,664.50,0.00
8.281,0.02,0.00,-0.03,0.00,664.50,0.00
8.431,0.02,0.00,-0.03,0.00,671.50,0.00
8.566,0.02,0.00,-0.03,0.00,671.50,0.00
8.715,0.02,0.00,-0.03,0.00,671.50,0.00
8.851,0.02,0.00,-0.03,0.00,671.50,0.00
8.986,0.02,0.00,-0.04,0.00,671.50,0.00
9.121,0.02,0.00,-0.04,0.00,671.50,0.00
9.255,0.02,0.00,-0.04,0.00,660.50,0.00
9.421,0.02,0.00,-0.04,0.00,660.50,0.00
9.556,0.02,0.00,-0.04,0.00,660.50,0.00
9.690,0.02,0.00,-0.04,0.00,660.50,0.00
9.841,0.02,0.00,-0.06,0.00,660.50,0.00
9.991,0.02,0.00,-0.06,0.00,660.50,0.00
10.125,0.02,0.00,-0.06,0.00,661.00,0.00
10.261,0.02,0.00,-0.06,0.00,661.00,0.00
10.395,0.02,0.00,-0.06,0.00,661.00,0.00
10.531,0.02,0.00,-0.06,0.00,661.00,0.00
10.681,0.02,0.00,-0.08,0.00,661.00,0.00
10.831,0.02,0.00,-0.08,0.00,661.00,0.00
10.965,0.02,0.00,-0.08,0.00,658.50,0.00
11.116,0.02,0.00,-0.08,0.00,658.50,0.00
11.250,0.02,0.00,-0.08,0.00,658.50,0.00
11.386,0.02,0.00,-0.08,0.00,658.50,0.00
11.520,0.02,0.00,-0.04,0.00,658.50,0.00
11.656,0.02,0.00,-0.04,0.00,658.50,0.00
11.805,0.02,0.00,-0.04,0.00,659.00,0.00
11.958,0.02,0.00,-0.04,0.00,659.00,0.00
12.120,0.02,0.00,-0.04,0.00,659.00,0.00
12.271,0.02,0.00,-0.04,0.00,659.00,0.00
12.405,0.02,0.00,-0.06,0.00,659.00,0.00
12.556,0.02,0.00,-0.06,0.00,659.00,0.00
12.693,0.02,0.00,-0.06,0.00,659.00,0.00
12.826,0.02,0.00,-0.06,0.00,659.00,0.00
12.960,0.02,0.00,-0.06,0.00,659.00,0.00
13.096,0.02,0.00,-0.06,0.00,659.00,0.00
13.261,0.02,0.00,-0.05,0.00,659.00,0.00
13.396,0.02,0.00,-0.05,0.00,659.00,0.00
13.531,0.02,0.00,-0.05,0.00,663.00,0.00
13.680,0.02,0.00,-0.05,0.00,663.00,0.00
13.830,0.02,0.00,-0.05,0.00,663.00,0.00
13.966,0.02,0.00,-0.05,0.00,663.00,0.00
14.103,0.02,0.00,-0.06,0.00,663.00,0.00
14.236,0.02,0.00,-0.06,0.00,663.00,0.00
14.371,0.02,0.00,-0.06,0.00,656.50,0.00
14.522,0.02,0.00,-0.06,0.00,656.50,0.00
